b0,b1,b2,b3,z.sd,phi.ROS,z
2.93641,-0.776881,0.418854,0.209848,0.91998,9.62639,-0.439788351
2.8545,-0.792556,0.601512,0.174654,0.874643,12.0723,0.92974988
2.81289,-0.710603,0.628661,0.0780006,0.918288,5.75617,-0.956041845
2.78173,-0.674946,0.634763,0.00897745,0.670138,6.81268,-0.169035086
2.74369,-0.640697,0.716403,-0.078234,0.677576,4.76723,0.854484284
2.81974,-0.797483,0.700471,0.0703781,0.876898,8.12407,-0.309779619
2.7352,-0.680387,0.729944,0.0646469,1.00338,10.3932,0.730597801
2.60457,-0.668129,0.636464,0.106187,1.11386,14.1369,-0.475060881
2.77017,-0.543923,0.720784,0.307918,0.987989,11.9089,1.344387514
2.85322,-0.636893,0.667074,0.286092,1.00189,12.539,-1.305987484
2.97302,-0.818089,0.507429,0.341612,0.8751,8.51262,0.547379613
2.90343,-0.734598,0.478244,0.327495,0.957566,10.4137,1.862044439
2.81909,-0.743116,0.700481,0.395327,0.97546,12.2837,1.051403372
2.88881,-0.607042,0.620261,0.264721,0.980832,12.9328,-0.946617213
2.98984,-0.653376,0.590006,0.119086,1.06023,10.4704,0.310432939
2.91272,-0.677279,0.623013,0.210445,0.79231,7.44339,-0.347329873
2.89548,-0.747884,0.454717,0.209719,0.809212,8.78418,0.277233771
2.75217,-0.660347,0.501505,0.263271,0.892529,8.32022,0.637003626
2.83283,-0.700538,0.508256,0.303877,1.03297,7.30857,0.558578624
2.89696,-0.730153,0.616992,0.111672,0.920043,8.07921,-1.084995609
2.85455,-0.649077,0.714151,0.0702689,0.978648,6.82409,0.51887131
2.91898,-0.623718,0.656441,0.238375,1.11562,7.92162,-0.996155728
2.82047,-0.712426,0.582167,0.248611,0.909401,9.22249,0.995461518
2.81317,-0.805739,0.63392,0.125604,0.774521,9.42685,0.440253061
2.75036,-0.743063,0.681358,-0.0347511,0.862267,10.0005,0.073977991
2.81772,-0.71007,0.614959,0.0421567,1.05964,10.3434,-0.602132288
2.90133,-0.809128,0.703764,0.241757,0.94391,9.55559,-1.118472253
2.78885,-0.724995,0.61184,0.197508,0.833283,12.8013,-0.038669235
2.91894,-0.711561,0.540358,0.140404,1.00219,12.3732,-0.268868668
2.89346,-0.738521,0.54506,0.0902181,0.855668,11.1095,0.927789284
